label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
A,0.9366896748542786,0.22122207283973694,0.18432489037513733,0.0971255898475647,0.07489151507616043,1.0,0.0,0.0,0.0,0.0,0.6560595035552979,0.2321360856294632,0.05999643728137016,0.02192864753305912,-0.9979576468467712,0.9393346905708313,0.6560595035552979,0.2321360856294632,0.2891548275947571,0.21068742871284485
A,0.9362757802009583,0.22024354338645935,0.17898942530155182,0.09638106822967529,0.09032256156206131,1.0,0.0,0.0,0.0,0.0,0.660045325756073,0.25736919045448303,0.12454959005117416,0.024240320548415184,-0.9919171929359436,0.9417380094528198,0.660045325756073,0.25736919045448303,0.2873547077178955,0.21963423490524292
A,0.9426677227020264,0.15986989438533783,0.18352484703063965,0.1391810029745102,0.19471673667430878,1.0,0.0,0.0,0.0,0.0,0.6685705184936523,0.2624693214893341,0.034558456391096115,0.07284176349639893,-0.9967446327209473,0.9644926190376282,0.6685705184936523,0.2624693214893341,0.26059919595718384,0.22946743667125702
A,0.9277433753013611,0.19678664207458496,0.21248777210712433,0.12659654021263123,0.16386334598064423,1.0,0.0,0.0,0.0,0.0,0.6578453183174133,0.2281353920698166,0.030744750052690506,0.03184470534324646,-0.9990198612213135,0.9578567743301392,0.6578453183174133,0.2281353920698166,0.2890670895576477,0.2292427271604538
A,0.9375728368759155,0.20957645773887634,0.21670790016651154,0.12469848245382309,0.14730578660964966,1.0,0.0,0.0,0.0,0.0,0.641202986240387,0.24737794697284698,0.04625522345304489,0.026460060849785805,-0.998579204082489,0.9512239694595337,0.641202986240387,0.24737794697284698,0.3005153238773346,0.22539114952087402
A,0.945194661617279,0.19306880235671997,0.19358405470848083,0.11375200003385544,0.14140215516090393,1.0,0.0,0.0,0.0,0.0,0.6732285022735596,0.2526932954788208,0.05899546667933464,0.051960039883852005,-0.9969050288200378,0.9636167287826538,0.6732285022735596,0.2526932954788208,0.2914709150791168,0.22618243098258972
A,0.9416815638542175,0.2027382254600525,0.19381596148014069,0.11150915920734406,0.12502272427082062,1.0,0.0,0.0,0.0,0.0,0.6817415356636047,0.24699851870536804,0.0431087464094162,0.04284721985459328,-0.9981511831283569,0.9534260630607605,0.6817415356636047,0.24699851870536804,0.2870521545410156,0.2151806801557541
A,0.956091582775116,0.1756691038608551,0.17478393018245697,0.11853008717298508,0.1435178518295288,1.0,0.0,0.0,0.0,0.0,0.6756134629249573,0.22498568892478943,0.13540823757648468,0.09031457453966141,-0.9866650104522705,0.9460206031799316,0.6756134629249573,0.22498568892478943,0.2534256875514984,0.22866855561733246
A,0.9597054719924927,0.1956377625465393,0.1757591813802719,0.11723839491605759,0.14056231081485748,1.0,0.0,0.0,0.0,0.0,0.6707560420036316,0.24210840463638306,0.09879349172115326,0.053701844066381454,-0.9936578869819641,0.9529238939285278,0.6707560420036316,0.24210840463638306,0.2666178345680237,0.24025975167751312
A,0.9560167789459229,0.19891124963760376,0.17889326810836792,0.11302640289068222,0.13909777998924255,1.0,0.0,0.0,0.0,0.0,0.6852403879165649,0.24564103782176971,0.08657161146402359,0.06494603306055069,-0.9941264390945435,0.9539941549301147,0.6852403879165649,0.24564103782176971,0.27311283349990845,0.2347450703382492
A,0.9549021124839783,0.1937086582183838,0.18050071597099304,0.11270962655544281,0.13758797943592072,1.0,0.0,0.0,0.0,0.0,0.6846141815185547,0.24541078507900238,0.06778635829687119,0.07330608367919922,-0.9950031638145447,0.9546505808830261,0.6846141815185547,0.24541078507900238,0.2795843780040741,0.23299923539161682
A,0.9525618553161621,0.19781792163848877,0.18117743730545044,0.1158946305513382,0.14524538815021515,1.0,0.0,0.0,0.0,0.0,0.698675811290741,0.23670664429664612,0.05354919657111168,0.07435423880815506,-0.9957931041717529,0.9514972567558289,0.698675811290741,0.23670664429664612,0.27675995230674744,0.2290654480457306
A,0.9524725675582886,0.24091674387454987,0.20439158380031586,0.1725534051656723,0.1732308566570282,1.0,0.0,0.0,0.0,0.0,0.6902246475219727,0.26690763235092163,0.028264567255973816,0.06472104042768478,-0.9975030422210693,0.934423565864563,0.6902246475219727,0.26690763235092163,0.24068602919578552,0.23160098493099213
A,0.9382848143577576,0.24878554046154022,0.2060277760028839,0.1589878648519516,0.14244787395000458,1.0,0.0,0.0,0.0,0.0,0.6589034795761108,0.2567652761936188,0.02240803837776184,0.06726733595132828,-0.9974832534790039,0.9402945637702942,0.6589034795761108,0.2567652761936188,0.2536216080188751,0.22954794764518738
A,0.9237266778945923,0.1724732369184494,0.1807136833667755,0.15581263601779938,0.15418194234371185,1.0,0.0,0.0,0.0,0.0,0.6355990767478943,0.24276761710643768,0.08074675500392914,0.05668477341532707,-0.9951215386390686,0.931637167930603,0.6355990767478943,0.24276761710643768,0.23977892100811005,0.23474138975143433
A,0.9484707713127136,0.23329298198223114,0.20565669238567352,0.15859834849834442,0.12859271466732025,1.0,0.0,0.0,0.0,0.0,0.6349816918373108,0.2340777963399887,0.05666583403944969,0.040009815245866776,-0.9975912570953369,0.9357404708862305,0.6349816918373108,0.2340777963399887,0.24704056978225708,0.22342750430107117
A,0.9337590932846069,0.2303643673658371,0.20065145194530487,0.1458926796913147,0.12049929797649384,1.0,0.0,0.0,0.0,0.0,0.6558784246444702,0.2533128559589386,0.04325808957219124,0.0396488793194294,-0.9982768297195435,0.9509415626525879,0.6558784246444702,0.2533128559589386,0.2442137598991394,0.22592902183532715
A,0.9615166783332825,0.2064761221408844,0.16624465584754944,0.08160046488046646,0.1051451787352562,1.0,0.0,0.0,0.0,0.0,0.5930615067481995,0.2126164734363556,0.16347546875476837,-0.09060398489236832,-0.9823781251907349,0.9476423263549805,0.5930615067481995,0.2126164734363556,0.23301132023334503,0.20621001720428467
A,0.9696547389030457,0.2303743064403534,0.18510593473911285,0.0940122976899147,0.0719149112701416,1.0,0.0,0.0,0.0,0.0,0.6164960861206055,0.20445626974105835,0.10780148953199387,-0.1610148847103119,-0.9810469150543213,0.9307378530502319,0.6164960861206055,0.20445626974105835,0.23180894553661346,0.20624993741512299
A,0.9158577919006348,0.23575009405612946,0.22226867079734802,0.18719127774238586,0.17716969549655914,1.0,0.0,0.0,0.0,0.0,0.7909411787986755,0.2405923753976822,-0.06510557234287262,0.03287486732006073,-0.9973366856575012,0.8894983530044556,0.7909411787986755,0.2405923753976822,0.27866891026496887,0.248555988073349
